graph,vertices,edges,kl_cut,kl_time,kl_balance,ml_cut,ml_time,ml_balance,improvement_%,speedup
fast_cluster/fast_cluster_50.txt,50,400,114,0.07924269699969955,1.0,114,0.36738995900032023,1.0,0.0,0.215690971019789
fast_cluster/fast_cluster_2000.txt,2000,16000,2588,6.144858933999785,1.0,634,0.9555659440002273,0.15008625646923518,75.50231839258115,6.430596415225869
fast_cluster/fast_cluster_100.txt,100,800,314,0.5572254369999428,1.0,136,0.08882109500018487,0.6666666666666666,56.68789808917197,6.273570901133148
fast_cluster/fast_cluster_500.txt,500,4000,756,3.061422655000115,1.0,552,0.34742595699981393,0.9230769230769231,26.984126984126984,8.811726911359575
fast_cluster/fast_cluster_200.txt,200,1600,272,1.9464139410001735,1.0,247,0.12022106499989604,1.0,9.191176470588236,16.19029028732907
fast_cluster/fast_cluster_1000.txt,1000,8000,1517,4.404292032000285,1.0,1152,0.7153354030001537,0.7857142857142857,24.060646011865526,6.156960795633008
fast_cluster/fast_cluster_5000.txt,5000,40000,6098,21.404806334000114,1.0,482,2.292083097000159,0.05064089094347552,92.09576910462447,9.338582166595259
barabasi_albert/barabasi_albert_1000.txt,1000,4985,4230,3.6736989189998894,1.0,131,0.8483569639997768,0.013171225937183385,96.903073286052,4.330369260693493
barabasi_albert/barabasi_albert_5000.txt,5000,24985,21695,25.892246908999823,1.0,102,7.889006030000019,0.0026067776218167233,99.52984558654067,3.2820670703682757
barabasi_albert/barabasi_albert_50.txt,50,100,50,0.18032029200003308,1.0,52,0.28544498900009785,1.0,-4.0,0.6317164390648009
barabasi_albert/barabasi_albert_500.txt,500,2485,2153,3.450145397000142,1.0,145,0.43253240700005335,0.026694045174537988,93.26521133302369,7.976617106980648
barabasi_albert/barabasi_albert_2000.txt,2000,9985,8568,6.654943509999612,1.0,124,1.756849733999843,0.006542526421741319,98.55275443510737,3.787998131660477
barabasi_albert/barabasi_albert_200.txt,200,985,863,2.343915537000157,1.0,179,0.278226409999661,0.07526881720430108,79.25840092699885,8.424489742016272
barabasi_albert/barabasi_albert_100.txt,100,485,434,0.7731967189997704,1.0,230,0.21853432099987913,0.20481927710843373,47.004608294930875,3.538102003667415
cluster/cluster_500.txt,500,5000,1047,1.7866177750001953,1.0,778,0.35132959200018377,0.9230769230769231,25.69245463228271,5.08530398714396
cluster/cluster_50.txt,50,500,150,0.06921122099993227,1.0,150,0.35578168200026994,1.0,0.0,0.19453283994503054
cluster/cluster_2000.txt,2000,20000,3408,5.785562953000408,1.0,966,0.9821982220000791,0.17647058823529413,71.65492957746478,5.890422954766804
cluster/cluster_200.txt,200,2000,340,1.9240855450002528,1.0,331,0.11965511499965942,1.0,2.6470588235294117,16.080261550086927
cluster/cluster_1000.txt,1000,10000,1813,2.8379614789996594,1.0,1447,0.5650336999997307,0.8518518518518519,20.187534473248757,5.022641090258885
cluster/cluster_5000.txt,5000,50000,7910,18.593124904999968,1.0,685,2.910592833999999,0.05485232067510549,91.34007585335019,6.388088600990479
cluster/cluster_100.txt,100,1000,421,0.5793683080000847,1.0,187,0.09268956200003231,0.6666666666666666,55.58194774346793,6.250631629911928
complete/complete_50.txt,50,1225,1733,0.227133675999994,1.0,1731,0.5086223670000436,1.0,0.1154068090017311,0.44656643265547646
path/path_100.txt,100,99,2,0.12428421499998876,1.0,4,0.038240008000229864,0.9607843137254902,-100.0,3.2501095449363318
path/path_1000.txt,1000,999,2,0.4310378540003512,1.0,1,0.10304183800008104,0.8832391713747646,50.0,4.1831343691677185
path/path_500.txt,500,499,1,0.8505831279999256,1.0,5,0.12073671899997862,0.7793594306049823,-400.0,7.044941547567449
path/path_50.txt,50,49,2,0.03905483499966067,1.0,4,0.1610253709995959,1.0,-100.0,0.2425383947710866
path/path_2000.txt,2000,1999,3,1.3916922899998099,1.0,3,0.24748194799985868,0.9665683382497542,0.0,5.623409308223986
path/path_5000.txt,5000,4999,2,2.7329786160003096,1.0,6,0.568853668000429,0.8539117538005191,-200.0,4.804361419707411
path/path_200.txt,200,199,1,1.0575646639999832,1.0,4,0.05940549500019188,0.9230769230769231,-300.0,17.802472043984604
grid/grid_49.txt,49,84,13,0.07187898899974243,0.96,15,0.207628160999775,0.96,-15.384615384615385,0.34619094372184095
grid/grid_961.txt,961,1860,103,3.562446768999962,0.997920997920998,65,0.2250318039996273,0.7160714285714286,36.89320388349515,15.830859041621789
grid/grid_100.txt,100,180,33,0.4311875029998191,1.0,20,0.0716613409999809,0.8867924528301887,39.39393939393939,6.017016943625631
grid/grid_484.txt,484,924,47,4.166565364000235,1.0,38,0.23855814099988493,0.890625,19.148936170212767,17.465618010505224
grid/grid_4900.txt,4900,9660,180,11.608988984000007,1.0,56,0.9530703310001627,0.0028653295128939827,68.88888888888889,12.180621520153087
grid/grid_196.txt,196,364,26,3.727897915000085,1.0,24,0.13148442600004273,0.8846153846153846,7.6923076923076925,28.352391445956297
grid/grid_1936.txt,1936,3784,148,3.1216010950001873,1.0,91,0.5301608130002933,0.9795501022494888,38.513513513513516,5.888026837242798
